country,fluregion,whoregion,year,tot_cases,B%,AH1%,AH3%,p,q,u,v
Bolivia (Plurinational State of),Tropical South America,Region of the Americas of WHO,2016,1757,0.103585657370518,0.610700056915196,0.285714285714286,-1.138523031739714,0.5371279438618253,0.17875,0.66125
Bolivia (Plurinational State of),Tropical South America,Region of the Americas of WHO,2017,1131,0.345711759504863,0.494252873563218,0.160035366931919,0.16851208165534365,0.7973706884814724,0.56125,0.72125
Bolivia (Plurinational State of),Tropical South America,Region of the Americas of WHO,2018,1336,0.295658682634731,0.54940119760479,0.154940119760479,0.010836423381876858,0.8950488589750972,0.50375,0.74875
Bolivia (Plurinational State of),Tropical South America,Region of the Americas of WHO,2019,615,0.185365853658537,0.55609756097561,0.258536585365854,-0.5843331439581942,0.5415777045421326,0.29124999999999995,0.6625
Brazil,Tropical South America,Region of the Americas of WHO,2010,857,0.197199533255543,0.183197199533256,0.619603267211202,-0.43731981319789454,-0.8616210792441559,0.33249999999999996,0.3025
Brazil,Tropical South America,Region of the Americas of WHO,2011,909,0.177117711771177,0.448844884488449,0.374037403740374,-0.6847973407471923,0.12892080916549395,0.25749999999999995,0.53625
Brazil,Tropical South America,Region of the Americas of WHO,2012,2001,0.120939530234883,0.474762618690655,0.404297851074463,-1.050988458687976,0.11360594454100498,0.19125,0.5287499999999999
Brazil,Tropical South America,Region of the Americas of WHO,2013,4496,0.306717081850534,0.567838078291815,0.125444839857651,0.11355388919939823,1.0677101435865524,0.5475,0.78125
Brazil,Tropical South America,Region of the Americas of WHO,2014,1669,0.258238466147394,0.163571000599161,0.578190533253445,-0.14263530490210038,-0.89283283638947,0.4375,0.28875
Brazil,Tropical South America,Region of the Americas of WHO,2015,4387,0.0934579439252336,0.787098244814224,0.119443811260543,-0.97006981528098,1.3332547949158442,0.2,0.82625
Brazil,Tropical South America,Region of the Americas of WHO,2016,4217,0.162200616552051,0.409769978657814,0.428029404790135,-0.7744959906344919,-0.030826971656122255,0.2325,0.49124999999999996
Brazil,Tropical South America,Region of the Americas of WHO,2017,5306,0.378439502450057,0.18017338861666,0.441387108933283,0.24016042775740357,-0.6335695364162275,0.5975,0.33999999999999997
Brazil,Tropical South America,Region of the Americas of WHO,2018,6272,0.150031887755102,0.625797193877551,0.224170918367347,-0.7469879916040636,0.7259282368380074,0.24375,0.71
Brazil,Tropical South America,Region of the Americas of WHO,2019,4015,0.289165628891656,0.512577833125778,0.198256537982565,-0.07961459704706203,0.671674176957875,0.46249999999999997,0.69625
Bulgaria,Eastern Europe,European Region of WHO,2010,140,0.87113263173608,0.12852776533811,0.0003396029258098,3.985900232988546,4.197472942366169,1.0,0.98375
Bulgaria,Eastern Europe,European Region of WHO,2011,246,0.0121930576727642,0.0001692708333333,0.987637671493902,-0.04789859837919533,-6.131726787692646,0.4775,0.00625
Bulgaria,Eastern Europe,European Region of WHO,2012,328,0.75,0.182926829268293,0.0670731707317073,1.5616624105304164,0.7094417247563476,0.9275,0.7062499999999999
Bulgaria,Eastern Europe,European Region of WHO,2013,398,0.0201005025125628,0.701005025125628,0.278894472361809,-2.523733327721564,0.6517272956726711,0.0675,0.69125
Bulgaria,Eastern Europe,European Region of WHO,2014,233,0.253218884120172,0.133047210300429,0.613733905579399,-0.09869686029340922,-1.0810654532327433,0.45249999999999996,0.2475
Bulgaria,Eastern Europe,European Region of WHO,2015,322,0.251552795031056,0.65527950310559,0.093167701863354,0.014632759460315586,1.3793254454020658,0.50625,0.835
Bulgaria,Eastern Europe,European Region of WHO,2016,283,0.0247349823321555,0.0424028268551237,0.932862190812721,-1.7020015973150047,-2.1856970797051676,0.12000000000000001,0.1325
Bulgaria,Eastern Europe,European Region of WHO,2017,450,0.804444444444444,0.173333333333333,0.0222222222222222,2.0918619965911276,1.45248482149235,0.9662499999999999,0.845
Bulgaria,Eastern Europe,European Region of WHO,2018,579,0.0001645569620253,0.657922804486128,0.341912638551846,-6.504472984459844,0.46282425925391363,0.005,0.6375
Bulgaria,Eastern Europe,European Region of WHO,2019,573,0.198952879581152,0.258289703315881,0.542757417102967,-0.5162741721536965,-0.5250838050011675,0.3075,0.36
Cambodia,South-East Asia,Western Pacific Region of WHO,2010,1131,0.236074270557029,0.325375773651636,0.438549955791335,-0.3838193447689737,-0.21106641634458295,0.35125,0.4475
Cambodia,South-East Asia,Western Pacific Region of WHO,2011,1192,0.63506711409396,0.309563758389262,0.0553691275167785,1.2893604188843941,1.2170311102984845,0.895,0.8099999999999999
Cambodia,South-East Asia,Western Pacific Region of WHO,2012,346,0.265895953757225,0.0520231213872832,0.682080924855491,0.2814355900886602,-1.8197110504378833,0.6124999999999999,0.16
Cambodia,South-East Asia,Western Pacific Region of WHO,2013,249,0.558232931726908,0.345381526104418,0.0963855421686747,0.913066383008693,0.9024757645259055,0.82125,0.75
Cambodia,South-East Asia,Western Pacific Region of WHO,2014,182,0.0494505494505494,0.126373626373626,0.824175824175824,-1.5316170914397065,-1.3259249720534168,0.14125000000000001,0.20375000000000001
Cambodia,South-East Asia,Western Pacific Region of WHO,2015,297,0.235690235690236,0.148148148148148,0.616161616161616,-0.20277092570986333,-1.0078368337321473,0.41,0.25875
Cambodia,South-East Asia,Western Pacific Region of WHO,2016,374,0.462566844919786,0.409090909090909,0.128342245989305,0.5735660909928504,0.819704280405363,0.7112499999999999,0.7325
Cambodia,South-East Asia,Western Pacific Region of WHO,2017,245,0.159183673469388,0.310204081632653,0.530612244897959,-0.7638915427163908,-0.37957570514914446,0.24000000000000002,0.39625
Cambodia,South-East Asia,Western Pacific Region of WHO,2018,273,0.307692307692308,0.652014652014652,0.0402930402930403,0.5233558451808745,1.9685062790815426,0.69375,0.8975
Cambodia,South-East Asia,Western Pacific Region of WHO,2019,314,0.289808917197452,0.417197452229299,0.292993630573248,-0.15320206517382787,0.24989772093479343,0.4325,0.57875
Cameroon,Middle Africa,African Region of WHO,2010,456,0.521929824561403,0.385964912280702,0.0921052631578947,0.8313518111358276,1.013152761984885,0.8,0.76875
Cameroon,Middle Africa,African Region of WHO,2011,461,0.577006507592191,0.195227765726681,0.227765726681128,0.8218946835793365,-0.10900099103037118,0.79375,0.47
Cameroon,Middle Africa,African Region of WHO,2012,527,0.311195445920304,0.079696394686907,0.609108159392789,0.28194529749298414,-1.438093622461034,0.61375,0.18875
Cameroon,Middle Africa,African Region of WHO,2013,431,0.443155452436195,0.354988399071926,0.201856148491879,0.41159625959515,0.3991828516978407,0.65875,0.615
Cameroon,Middle Africa,African Region of WHO,2014,536,0.477611940298507,0.130597014925373,0.391791044776119,0.610229996102747,-0.7768361992120932,0.72875,0.31625
Cameroon,Middle Africa,African Region of WHO,2015,290,0.210344827586207,0.289655172413793,0.5,-0.4841019712007131,-0.38602157276811516,0.31,0.39375
Cameroon,Middle Africa,African Region of WHO,2016,166,0.228915662650602,0.120481927710843,0.650602409638554,-0.16439798632015926,-1.1924641358554084,0.43,0.2325
Cameroon,Middle Africa,African Region of WHO,2017,446,0.0717488789237668,0.600896860986547,0.327354260089686,-1.4872982454216461,0.42948277046878064,0.14375000000000002,0.62625
Cameroon,Middle Africa,African Region of WHO,2018,312,0.262820512820513,0.195512820512821,0.541666666666667,-0.17445840948177693,-0.7205593821627649,0.42624999999999996,0.32375
Cameroon,Middle Africa,African Region of WHO,2019,324,0.422839506172839,0.216049382716049,0.361111111111111,0.33855731678503337,-0.3632256869934336,0.63625,0.40375
Canada,North America,Region of the Americas of WHO,2010,19245,0.130995063652897,0.125331254871395,0.743673681475708,-0.6908554459742354,-1.259104080683194,0.2525,0.2175
Canada,North America,Region of the Americas of WHO,2011,11378,0.491914220425382,0.172965371770083,0.335120407804535,0.5833979932037815,-0.46767935186218634,0.71875,0.3725
Canada,North America,Region of the Americas of WHO,2012,28323,0.165660417328673,0.143205168943968,0.691134413727359,-0.5236734100898143,-1.1130256543054693,0.30374999999999996,0.24000000000000002
Canada,North America,Region of the Americas of WHO,2013,27967,0.245432116422927,0.715843672900204,0.0387242106768692,0.3168472065465973,2.062628222128918,0.63,0.905
